Name,Email,Financial Status,Currency,Discount Code,Discount Amount,Created at,Lineitem quantity,Lineitem name,Lineitem sku,Lineitem price,Lineitem discount,Payment Method
#2001,customer@example.com,paid,EUR,SUMMER20,82.5,2026-08-20 10:00:00 -0400,6,Summer Bundle Pack,SUMMER-PACK,68.75,82.5,shopify_payments
#2002,customer@example.com,paid,EUR,SUMMER20,68.75,2026-08-20 10:00:00 -0400,5,Summer Bundle Pack,SUMMER-PACK,68.75,68.75,shopify_payments
#2003,customer@example.com,paid,EUR,SUMMER20,55,2026-08-20 10:00:00 -0400,4,Summer Bundle Pack,SUMMER-PACK,68.75,55,shopify_payments
#2004,customer@example.com,paid,EUR,SUMMER20,82.5,2026-08-20 10:00:00 -0400,6,Summer Bundle Pack,SUMMER-PACK,68.75,82.5,shopify_payments
#2005,customer@example.com,paid,EUR,SUMMER20,82.5,2026-08-20 10:00:00 -0400,6,Summer Bundle Pack,SUMMER-PACK,68.75,82.5,shopify_payments
#2006,customer@example.com,paid,EUR,CLEAROUT50,120,2026-08-20 10:00:00 -0400,8,Reed Diffuser,DIFFUSER-REED,30,120,shopify_payments
#2007,customer@example.com,paid,EUR,CLEAROUT50,105,2026-08-20 10:00:00 -0400,7,Reed Diffuser,DIFFUSER-REED,30,105,shopify_payments
#2008,customer@example.com,paid,EUR,CLEAROUT50,75,2026-08-20 10:00:00 -0400,5,Reed Diffuser,DIFFUSER-REED,30,75,shopify_payments
#2009,customer@example.com,paid,EUR,VASEFLASH35,61.6,2026-08-20 10:00:00 -0400,8,Ceramic Vase,VASE-CERAMIC,22,61.6,shopify_payments
#2010,customer@example.com,paid,EUR,VASEFLASH35,53.9,2026-08-20 10:00:00 -0400,7,Ceramic Vase,VASE-CERAMIC,22,53.9,shopify_payments
#2011,customer@example.com,paid,EUR,VIP15,33,2026-08-20 10:00:00 -0400,10,Ceramic Vase,VASE-CERAMIC,22,33,shopify_payments
#2012,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,5,Ceramic Vase,VASE-CERAMIC,22,0,shopify_payments
#2013,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,5,Ceramic Vase,VASE-CERAMIC,22,0,shopify_payments
#2014,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,5,Ceramic Vase,VASE-CERAMIC,22,0,shopify_payments
#2015,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,5,Ceramic Vase,VASE-CERAMIC,22,0,shopify_payments
#2016,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,5,Ceramic Vase,VASE-CERAMIC,22,0,shopify_payments
#2017,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,5,Ceramic Vase,VASE-CERAMIC,22,0,shopify_payments
#2018,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,5,Ceramic Vase,VASE-CERAMIC,22,0,shopify_payments
#2019,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,5,Ceramic Vase,VASE-CERAMIC,22,0,shopify_payments
#2020,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,10,Knit Throw Blanket,THROW-BLANKET,45,0,shopify_payments
#2021,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,10,Knit Throw Blanket,THROW-BLANKET,45,0,shopify_payments
#2022,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,10,Knit Throw Blanket,THROW-BLANKET,45,0,shopify_payments
#2023,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,10,Knit Throw Blanket,THROW-BLANKET,45,0,shopify_payments
#2024,customer@example.com,paid,EUR,VIP15,36,2026-08-20 10:00:00 -0400,10,Lavender Candle,CANDLE-LAV,24,36,shopify_payments
